Low_Freq,Power_ambient,Power_test
1823.8,-100.62,-52.85
1829.2,-99.35,-48.78
1834.6,-102.42,-37.84
1840,-97.23,-40.28
1845.3,-97.99,-47.91
1850.7,-84.1,-36.34
1856.1,-70.52,-34.94
1861.5,-69.04,-38.88
1866.9,-82.1,-52.49
1872.2,-95.45,-43.25
1877.6,-97.25,-46.76
1883,-98.24,-41.6
1888.4,-100.17,-44.91
1893.8,-95.03,-41.52
1899.1,-100.3,-39.7
1904.5,-92.57,-36.26
1909.9,-95.02,-35.6
1915.3,-92.82,-48.35
1920.7,-90.15,-42.92
1926,-102.96,-42.59
1931.4,-98.71,-48.09
1936.8,-102.13,-54.53
1942.2,-106.04,-49.6
1947.6,-103.39,-56.94
1952.9,-114.41,-47.66
1958.3,-109.57,-48.62
1963.7,-108.98,-42.87
1969.1,-91.27,-38.66
1974.5,-73.13,-38.09
1979.8,-69.39,-35.97
1985.2,-77.52,-35.67
1990.6,-95.4,-39.85
1996,-105.5,-43.92
